r,p,sample_size,population_r
0.4292321160058433,0.005712812722672952,40,0.25
0.32504082167548837,0.0407078882009248,40,0.25
0.23847581403218568,0.1383663031719472,40,0.25
0.31533499320362907,0.04747881591316855,40,0.25
0.05801502655358262,0.722152146594806,40,0.25
0.46321750219812124,0.0026120454911598093,40,0.25
0.4732232209727776,0.002042734226179059,40,0.25
0.09306864946299323,0.5678675634159109,40,0.25
0.2712312451734636,0.09047052380986838,40,0.25
0.31357007599004105,0.04880251526279808,40,0.25
0.08408331961227793,0.6059650353590493,40,0.25
0.15683383129403247,0.3338194502102896,40,0.25
0.39051078599926337,0.012727852187794753,40,0.25
0.08115660053720777,0.6186067917829252,40,0.25
0.2699685139511327,0.0920402768294039,40,0.25
0.10730424729542842,0.5098710222179852,40,0.25
0.19331809814781276,0.23201074626722526,40,0.25
0.04895935986488275,0.7641716253951181,40,0.25
0.167294693275258,0.30216229826248125,40,0.25
0.4591256749992732,0.002882277230758521,40,0.25
-0.00721997858781834,0.964732467147819,40,0.25
0.08859996787324846,0.5866770909542635,40,0.25
0.42675761803817003,0.006029603656138672,40,0.25
0.3836802305156932,0.014525044354651089,40,0.25
0.17192522540527638,0.28878330599145763,40,0.25
0.30952842404363085,0.05194591665302815,40,0.25
0.303219727768677,0.05717539560898209,40,0.25
0.3700026058464929,0.018774442991399277,40,0.25
0.3772276641220751,0.016415548033708836,40,0.25
0.5306348548642469,4.278218480018347e-4,40,0.25
0.306834527023389,0.054129916805468074,40,0.25
0.3665560596069547,0.019996229295022972,40,0.25
0.3376939173883364,0.03308210726586633,40,0.25
0.33065800180859317,0.037162678283328275,40,0.25
0.4152812083502761,0.00770528887231346,40,0.25
0.4129503419726772,0.00809064302842448,40,0.25
0.43260044645106954,0.005304796042779649,40,0.25
0.31403732389344874,0.04844921649279485,40,0.25
0.24919808936875745,0.12098134193456128,40,0.25
0.18433399190132668,0.25484808241570733,40,0.25
0.20810603691675467,0.19753573949798922,40,0.25
0.21021708614367274,0.1929249755967483,40,0.25
0.3540596532517923,0.024998692958928682,40,0.25
0.31159022240325135,0.05032263526384314,40,0.25
